#Wavelength (nm)	Color Matching Functions
360.0	1.299000000000000133e-04	3.916999999999999936e-06	6.061000000000000415e-04
361.0	1.458470000000000014e-04	4.393581000000000278e-06	6.808791999999999709e-04
362.0	1.638021000000000084e-04	4.929604000000000313e-06	7.651456000000000490e-04
363.0	1.840036999999999879e-04	5.532136000000000086e-06	8.600123999999999790e-04
364.0	2.066902000000000019e-04	6.208244999999999884e-06	9.665928000000000063e-04
365.0	2.321000000000000038e-04	6.965000000000000230e-06	1.085999999999999943e-03
366.0	2.607280000000000014e-04	7.813219000000000316e-06	1.220586000000000067e-03
367.0	2.930750000000000087e-04	8.767336000000000045e-06	1.372729000000000050e-03
368.0	3.293880000000000115e-04	9.839844000000000585e-06	1.543579000000000001e-03
369.0	3.699139999999999959e-04	1.104322999999999998e-05	1.734286000000000031e-03
370.0	4.149000000000000019e-04	1.238999999999999996e-05	1.946000000000000030e-03
371.0	4.641587000000000187e-04	1.388641000000000043e-05	2.177777000000000098e-03
372.0	5.189860000000000350e-04	1.555727999999999956e-05	2.435809000000000151e-03
373.0	5.818540000000000300e-04	1.744295999999999943e-05	2.731953000000000072e-03
374.0	6.552347000000000032e-04	1.958375000000000033e-05	3.078064000000000147e-03
375.0	7.416000000000000283e-04	2.201999999999999924e-05	3.485999999999999949e-03
376.0	8.450295999999999502e-04	2.483964999999999857e-05	3.975226999999999580e-03
377.0	9.645268000000000027e-04	2.804125999999999925e-05	4.540879999999999743e-03
378.0	1.094949000000000009e-03	3.153104000000000296e-05	5.158320000000000093e-03
379.0	1.231153999999999929e-03	3.521521000000000194e-05	5.802907000000000377e-03
380.0	1.368000000000000075e-03	3.899999999999999929e-05	6.450001000000000345e-03
381.0	1.502050000000000000e-03	4.282640000000000047e-05	7.083215999999999818e-03
382.0	1.642327999999999974e-03	4.691459999999999972e-05	7.745488000000000026e-03
383.0	1.802381999999999942e-03	5.158959999999999815e-05	8.501151999999999667e-03
384.0	1.995756999999999913e-03	5.717639999999999691e-05	9.414544000000000384e-03
385.0	2.236000000000000140e-03	6.399999999999999710e-05	1.054999000000000041e-02
386.0	2.535384999999999809e-03	7.234420999999999831e-05	1.196580000000000039e-02
387.0	2.892603000000000101e-03	8.221223999999999470e-05	1.365587000000000051e-02
388.0	3.300828999999999916e-03	9.350815999999999750e-05	1.558805000000000086e-02
389.0	3.753236000000000072e-03	1.061360999999999951e-04	1.773015000000000008e-02
390.0	4.243000000000000244e-03	1.200000000000000030e-04	2.005001000000000005e-02
391.0	4.762388999999999685e-03	1.349839999999999937e-04	2.251136000000000109e-02
392.0	5.330048000000000424e-03	1.514920000000000058e-04	2.520288000000000042e-02
393.0	5.978711999999999742e-03	1.702080000000000075e-04	2.827972000000000125e-02
394.0	6.741116999999999596e-03	1.918160000000000080e-04	3.189704000000000150e-02
395.0	7.649999999999999682e-03	2.169999999999999891e-04	3.620999999999999913e-02
396.0	8.751372999999999791e-03	2.469066999999999920e-04	4.143771000000000260e-02
397.0	1.002888000000000043e-02	2.812399999999999839e-04	4.750371999999999928e-02
398.0	1.142169999999999991e-02	3.185199999999999794e-04	5.411988000000000215e-02
399.0	1.286901000000000017e-02	3.572666999999999857e-04	6.099803000000000169e-02
400.0	1.430999999999999980e-02	3.959999999999999762e-04	6.785001000000000226e-02
401.0	1.570442999999999839e-02	4.337146999999999964e-04	7.448631999999999476e-02
402.0	1.714743999999999990e-02	4.730240000000000031e-04	8.136155999999999944e-02
403.0	1.878122000000000125e-02	5.178760000000000134e-04	8.915364000000000622e-02
